,game_id,home_team_id,away_team_id,home_team_name,away_team_name,date,home_points,away_points,Season
94,5a3785eb-17c1-470f-943e-72fd9b4d0e8c,3c409388-ab73-4c7f-953d-3a71062240f6,d6a012ed-84aa-48d3-8265-2d3f3ff2199a,Chicago Sky,Seattle Storm,2020-08-29T18:00:00Z,74,88,2020
95,a53cd461-8c05-486c-986e-3d7f3234c67c,f073a15f-0486-4179-b0a3-dfd0294eb595,5f0b5caf-708b-4300-92f2-53b51d83ec06,Indiana Fever,Dallas Wings,2020-08-29T20:00:00Z,78,82,2020
96,0ff80e9a-00ac-4e3e-8d04-29c21cb56deb,5c0d47fe-8539-47b0-9f36-d0b3609ca89b,a015b02d-845c-40c1-8ef4-844984f47e4d,Washington Mystics,Connecticut Sun,2020-08-30T20:00:00Z,63,76,2020
97,e7b98f2b-c4d3-46d7-9356-b2500344627e,6f017f37-be96-4bdc-b6d3-0a0429c72e89,0699edf3-5993-4182-b9b4-ec935cbd4fcc,Minnesota Lynx,Phoenix Mercury,2020-08-30T22:00:00Z,79,83,2020
98,c3dd9a15-368a-4877-8b80-8f4193b6ee66,0a5ad38d-2fe3-43ba-894b-1ba3d5042ea9,5d70a9af-8c2b-4aec-9e68-9acc6ddb93e4,Los Angeles Sparks,Atlanta Dream,2020-08-31T00:00:00Z,84,79,2020
99,12318b7f-2dbf-4ec9-8d11-e786321f4f03,f073a15f-0486-4179-b0a3-dfd0294eb595,3c409388-ab73-4c7f-953d-3a71062240f6,Indiana Fever,Chicago Sky,2020-08-31T22:00:00Z,77,100,2020
100,8face634-7d0a-4d1e-896c-f27befbfa5d4,6f017f37-be96-4bdc-b6d3-0a0429c72e89,0a5ad38d-2fe3-43ba-894b-1ba3d5042ea9,Minnesota Lynx,Los Angeles Sparks,2020-09-01T02:00:00Z,96,78,2020
101,913e9e0b-7950-4294-ad1d-123b06d29da5,08ed8274-e29f-4248-bc2e-83cc8ed18d75,a015b02d-845c-40c1-8ef4-844984f47e4d,New York Liberty,Connecticut Sun,2020-09-01T23:00:00Z,65,70,2020
102,0638a5ae-d203-49b9-a172-3e45d55c3d39,5d70a9af-8c2b-4aec-9e68-9acc6ddb93e4,f073a15f-0486-4179-b0a3-dfd0294eb595,Atlanta Dream,Indiana Fever,2020-09-02T00:00:00Z,102,90,2020
103,1108096e-1704-420b-ada4-6e6b5342b7a8,171b097d-01db-4ae8-9d56-035689402ec6,0699edf3-5993-4182-b9b4-ec935cbd4fcc,Las Vegas Aces,Phoenix Mercury,2020-09-02T02:00:00Z,85,92,2020
104,c74eaaab-1fab-4954-8909-08715cbc06a3,3c409388-ab73-4c7f-953d-3a71062240f6,6f017f37-be96-4bdc-b6d3-0a0429c72e89,Chicago Sky,Minnesota Lynx,2020-09-02T23:00:00Z,83,86,2020
105,13d8511b-9cb8-440c-9f3a-fce309353659,5f0b5caf-708b-4300-92f2-53b51d83ec06,0a5ad38d-2fe3-43ba-894b-1ba3d5042ea9,Dallas Wings,Los Angeles Sparks,2020-09-03T00:00:00Z,83,91,2020
106,650b98a6-33cd-44b9-b59c-40b732d895dc,d6a012ed-84aa-48d3-8265-2d3f3ff2199a,5c0d47fe-8539-47b0-9f36-d0b3609ca89b,Seattle Storm,Washington Mystics,2020-09-03T02:00:00Z,71,64,2020
107,33064bb2-8a5d-4639-b1fc-fc8f884fdcbd,08ed8274-e29f-4248-bc2e-83cc8ed18d75,5d70a9af-8c2b-4aec-9e68-9acc6ddb93e4,New York Liberty,Atlanta Dream,2020-09-03T22:30:00Z,56,62,2020
108,eaed33ca-3326-4e09-952e-7357d0b9a211,a015b02d-845c-40c1-8ef4-844984f47e4d,171b097d-01db-4ae8-9d56-035689402ec6,Connecticut Sun,Las Vegas Aces,2020-09-04T00:00:00Z,78,93,2020
109,641cf66c-6a4a-4835-a549-deb2d2a65e2c,0699edf3-5993-4182-b9b4-ec935cbd4fcc,f073a15f-0486-4179-b0a3-dfd0294eb595,Phoenix Mercury,Indiana Fever,2020-09-04T02:00:00Z,105,81,2020
