,Rk,Player,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Player_Name,Twitter_handle
97,98,Dejounte Murray_murrade01,SAS,8,8,29.9,4.9,12.5,0.39,0.9,2.6,0.33299999999999996,2.0,2.5,0.8,0.3,5.8,6.0,4.3,1.4,0.1,2.1,1.9,12.6,9.1,Dejounte Murray,murrade01
98,99,Jabari Parker_parkeja01,SAC,5,0,13.2,4.0,6.0,0.667,0.2,0.6,0.33299999999999996,1.2,1.4,0.857,1.4,2.4,3.8,1.6,0.6,0.2,0.8,1.0,9.4,9.1,Jabari Parker,parkeja01
99,100,Josh Richardson_richajo01,PHI,11,11,33.0,4.7,11.6,0.406,2.3,5.7,0.397,2.7,2.8,0.968,0.7,1.7,2.5,2.5,0.8,0.4,1.9,2.5,14.5,9.1,Josh Richardson,richajo01
100,101,D.J. Augustin_augusdj01,ORL,13,7,25.6,3.5,8.5,0.418,1.4,3.4,0.409,3.4,3.6,0.9359999999999999,0.3,1.5,1.8,5.3,0.4,0.0,2.2,1.9,11.8,9.0,D.J. Augustin,augusdj01
101,102,Joe Ingles_inglejo01,UTA,15,15,30.3,3.3,7.5,0.442,2.1,5.5,0.386,1.0,1.1,0.938,0.3,2.7,3.1,5.0,0.8,0.2,1.5,2.3,9.8,9.0,Joe Ingles,inglejo01
102,103,Eric Bledsoe_bledser01,MIL,14,14,27.8,3.8,9.9,0.381,0.9,3.3,0.261,2.4,3.4,0.7020000000000001,0.5,4.1,4.6,5.6,1.1,0.5,2.2,2.0,10.8,8.9,Eric Bledsoe,bledser01
103,104,Tyler Johnson_johnsty01,BRK,12,6,23.9,4.4,10.4,0.424,2.1,5.3,0.391,1.7,1.7,1.0,0.7,1.9,2.6,2.8,0.3,0.2,0.7,2.2,12.6,8.9,Tyler Johnson,johnsty01
104,105,Marcus Morris_morrima03,LAC,20,20,29.8,4.3,8.6,0.503,1.9,4.2,0.446,1.1,1.3,0.88,0.8,3.9,4.7,1.5,0.8,0.2,0.9,2.9,11.6,8.9,Marcus Morris,morrima03
105,106,Derrick Favors_favorde01,NOP,6,6,25.6,3.3,5.7,0.588,0.0,0.0,,0.7,1.5,0.444,2.7,6.7,9.3,1.0,0.8,0.3,0.7,1.3,7.3,8.8,Derrick Favors,favorde01
106,107,Evan Fournier_fournev01,ORL,10,10,31.5,4.6,11.7,0.39299999999999996,2.0,6.3,0.317,2.4,3.2,0.75,0.4,3.0,3.4,2.9,0.7,0.4,1.4,2.4,13.6,8.8,Evan Fournier,fournev01
